Time	Clean	Noisy	Reconstructed
0.294434	-0.613157	0.652277	-0.674123
0.294556	-0.941327	-2.4723	-0.973295
0.294678	-1.23287	0.707399	-1.23264
0.2948	-1.45198	-0.0698128	-1.41998
0.294922	-1.5714	-6.6814	-1.51174
0.295044	-1.5756	-2.04674	-1.49571
0.295166	-1.46262	-3.78206	-1.37244
0.295288	-1.24432	-1.2667	-1.15511
0.29541	-0.944949	2.38723	-0.86795
0.295532	-0.598316	0.584824	-0.543297
0.295654	-0.243784	-0.985833	-0.217784
0.295776	0.0783673	-1.31594	0.0720175
0.295898	0.331691	-1.53591	0.293911
0.296021	0.487873	-0.595052	0.423852
0.296143	0.530068	1.55509	0.448759
0.296265	0.454892	-6.53135	0.368008
0.296387	0.272816	0.905533	0.19346
0.296509	0.00693098	-2.73719	-0.0519885
0.296631	-0.309773	-0.199083	-0.337152
0.296753	-0.638302	0.204779	-0.626271
0.296875	-0.938254	-4.6785	-0.883249
0.296997	-1.17259	-1.86715	-1.07592
0.297119	-1.31199	-4.55965	-1.17984
0.297241	-1.33834	-0.686917	-1.18111
0.297363	-1.24682	1.49395	-1.07804
0.297485	-1.04655	-1.72849	-0.881228
0.297607	-0.759411	-5.35694	-0.612336
0.297729	-0.417566	0.582864	-0.301438
0.297852	-0.0596014	2.04559	0.0165411
0.297974	0.273997	0.286689	0.305972
0.298096	0.545627	-0.311301	0.534736
0.298218	0.725001	-1.82731	0.678003
0.29834	0.792719	1.76065	0.721144
0.298462	0.742559	1.30686	0.661421
0.298584	0.582205	1.69889	0.50827
0.298706	0.332346	-2.6643	0.28214
0.298828	0.0242314	5.60369	0.0120394
0.29895	-0.304013	-0.43876	-0.267922
0.299072	-0.611884	-2.914	-0.522586
0.299194	-0.861277	-0.294949	-0.719907
0.299316	-1.02098	0.792367	-0.834729
0.299438	-1.07036	-0.758717	-0.85174
0.299561	-1.0018	0.92285	-0.767252
0.299683	-0.821568	-1.38901	-0.589595
0.299805	-0.549131	-2.12582	-0.3381
0.299927	-0.214814	-0.317426	-0.0407718
0.300049	0.143756	-1.91677	0.269047
0.300171	0.486093	-0.720973	0.556637
0.300293	0.773624	2.55184	0.790018
0.300415	0.97424	3.54928	0.943715
0.300537	1.06608	0.865688	1.00176
0.300659	1.04012	0.268488	0.959557
0.300781	0.901225	3.13122	0.824368
0.300903	0.667565	-0.146688	0.614447
0.301025	0.368501	0.530444	0.356828
0.301147	0.0410992	3.64443	0.084107
0.30127	-0.274236	-3.68281	-0.169437
0.301392	-0.538525	-1.40008	-0.371903
0.301514	-0.718817	-6.14266	-0.497537
0.301636	-0.792071	-7.02229	-0.529769
0.301758	-0.747875	-2.17241	-0.463146
0.30188	-0.589679	-3.31825	-0.303949
0.302002	-0.334381	3.44933	-0.0694188
0.302124	-0.0103422	-4.73777	0.214314
0.302246	0.345964	2.30447	0.515348
0.302368	0.694249	-0.339695	0.799802
0.30249	0.995165	0.94352	1.03583
0.302612	1.21494	2.59908	1.19741
0.302734	1.32937	-3.10183	1.26735
0.302856	1.32666	2.22951	1.2394
0.302979	1.20882	3.11275	1.11886
0.303101	0.991444	-2.43972	0.922001
0.303223	0.701842	-2.15833	0.674078
0.303345	0.375836	1.64595	0.406316
0.303467	0.0535334	5.59934	0.152206
